ID    VERSION           CTIME     FECHA         LINEAS    HASH
1     3.9.0-2           6.116     03/06/2017    2344      00000000000000000000000000000000
3     3.9.0             6.022     03/06/2017    2340      00000000000000000000000000000000
4     3.9.0             5.903     03/06/2017    2340      00000000000000000000000000000000
5     3.9.1             5.775     03/06/2017    2340      00000000000000000000000000000000
6     3.9.1-1           7.048     03/06/2017    2340      00000000000000000000000000000000
7     3.9.1-2           5.818     03/06/2017    2340      00000000000000000000000000000000
8     3.9.1-3           5.398     03/06/2017    2340      00000000000000000000000000000000
9     3.9.4             5.030     08/06/2017    2348      00000000000000000000000000000000
10    4.0.0-alpha-1     4.787     08/06/2017    2394      00000000000000000000000000000000
11    4.0.0-alpha-2     5.282     08/06/2017    2393      00000000000000000000000000000000
12    4.0.0-alpha-3     5.324     08/06/2017    2393      00000000000000000000000000000000
13    4.0.0-alpha-4     5.328     08/06/2017    2393      00000000000000000000000000000000
14    4.0.0-alpha-5     5.200     08/06/2017    2393      00000000000000000000000000000000
15    4.0.0-alpha-6     5.273     08/06/2017    2393      00000000000000000000000000000000
16    4.0.0-alpha-7     5.904     10/06/2017    2435      00000000000000000000000000000000
17    4.0.0-alpha-7.1   5.824     10/06/2017    2435      00000000000000000000000000000000
18    4.0.0-alpha-7.2   5.401     10/06/2017    2435      00000000000000000000000000000000
19    4.0.0-alpha-8     5.552     10/06/2017    2436      00000000000000000000000000000000
20    4.0.0-alpha-8.1   5.628     10/06/2017    2436      00000000000000000000000000000000
21    4.0.0-alpha-9     5.355     10/06/2017    2436      00000000000000000000000000000000
22    4.0.0-alpha-10    5.073     10/06/2017    2436      00000000000000000000000000000000
23    4.0.0-beta-1      5.427     11/06/2017    2447      00000000000000000000000000000000
24    4.0.0-beta-2      6.104     11/06/2017    2446      00000000000000000000000000000000
25    4.0.0-beta-3      6.628     11/06/2017    2498      00000000000000000000000000000000
26    4.0.0-beta-4      5.716     11/06/2017    2496      00000000000000000000000000000000
27    4.0.0             5.146     12/06/2017    2496      00000000000000000000000000000000
28    4.0.0-1           4.940     12/06/2017    2496      00000000000000000000000000000000
29    4.0.1             5.391     19/06/2017    2502      00000000000000000000000000000000
30    4.0.1-1           5.190     19/06/2017    2502      00000000000000000000000000000000
31    4.0.1-2           6.017     19/06/2017    2503      8E6D56B97BA33D3C1A7B11B271633A89
32    4.0.1-3           5.391     19/06/2017    2503      E5E752B5F5AF8590431B6C47AC61C8B0
33    4.0.1-4           5.363     19/06/2017    2503      95FD508A5B0C0262C09C72FE657C4CBB
34    4.0.2             5.185     19/06/2017    2503      D3A9833ADC4478660B5C856BB304B482
35    4.0.3             5.034     20/06/2017    2508      F37DCEDDAF65301A78F247FE645A7536
36    4.0.4             4.665     20/06/2017    2509      A4FC3996D4E77750ECB3A743662ECF75
37    4.0.4-1           4.586     20/06/2017    2509      599B86C6A6DADE32A2DFAFF12B952494
38    4.0.5             4.789     20/06/2017    2525      31BB637B93BBF4349B91AEAB9D2247E4
39    4.0.5-1           4.868     20/06/2017    2525      075DC77B19DA578CB3A14132A501C496
40    4.0.5-2           5.669     04/07/2017    2525      CE85880C00D0FB92616324BE498B2BBD
41    4.0.5-3           5.263     04/07/2017    2526      995B10C016D0D361010A88FDF4ED4BD2
42    4.0.5-4           5.661     04/07/2017    2526      2E358994C8122118EA23F263DB078F30
43    4.0.5-4.1         5.438     04/07/2017    2526      09B3B447A549855EEC18EB54B3568971
44    4.0.5-4.2         5.647     04/07/2017    2526      6B3121812B007ECD7683338292CBB5E2
45    4.0.5-4.3         5.727     04/07/2017    2526      79273BE398A002A26C5F2B3FD6B94A95
46    4.0.6             5.182     04/07/2017    2526      DACE9E57EC1CC23DE5B80095974F5F4E
47    4.0.6.1           5.529     04/07/2017    2526      005A7B83190F6206F31E39A92251F4B9
48    4.0.6.2           5.325     04/07/2017    2526      CB97AD73F88E35CE2FB141415967FFE7
49    4.0.6-2           5.579     04/07/2017    2526      718D312CC3842858A4E7D128E8F86EBC
50    4.0.7             5.476     04/07/2017    2527      BF0A496FB2E4FBE7FBAD6B4D6BF4F1AD
51    4.0.8             5.572     04/07/2017    2527      633D8E983CB0DCD135E51AFE4388ADC7
52    4.0.9             5.809     04/07/2017    2527      7B7AC5638A1DA67F90CA696536C97485
53    4.1.0             5.995     04/07/2017    2527      37164BA71D1FCCE0BF22E74218568957
54    4.1.0.1           5.406     04/07/2017    2527      BF1900F079A8DEACE2EE366279BE3B9A
55    4.1.1             5.392     04/07/2017    2527      CB3219A7691FD9A50B088100C6A262FB
